Detected id,Detected size,Truth id,Truth size,Precision,Detected left,intersect,Truth left
181,5,51,20,0.041667,4,1,19
182,5,97,20,0.041667,4,1,19
183,5,89,20,0.041667,4,1,19
184,5,69,20,0.041667,4,1,19
185,5,84,20,0.041667,4,1,19
186,5,65,20,0.041667,4,1,19
187,5,18,20,0.041667,4,1,19
188,5,78,20,0.041667,4,1,19
189,5,77,20,0.041667,4,1,19
190,4,40,20,0.043478,3,1,19
191,4,72,20,0.043478,3,1,19
192,4,97,20,0.043478,3,1,19
193,4,87,20,0.043478,3,1,19
194,4,62,20,0.043478,3,1,19
195,4,69,20,0.043478,3,1,19
196,4,85,20,0.043478,3,1,19
197,4,79,20,0.043478,3,1,19
198,4,87,20,0.043478,3,1,19
199,4,43,20,0.043478,3,1,19
200,4,89,20,0.043478,3,1,19
201,4,16,20,0.043478,3,1,19
202,4,84,20,0.043478,3,1,19
203,4,73,20,0.043478,3,1,19
204,4,21,20,0.043478,3,1,19
205,4,69,20,0.043478,3,1,19
206,4,80,20,0.043478,3,1,19
207,4,63,20,0.043478,3,1,19
208,4,66,20,0.043478,3,1,19
209,4,79,20,0.043478,3,1,19
210,4,82,20,0.043478,3,1,19
211,4,84,20,0.043478,3,1,19
212,4,66,20,0.043478,3,1,19
213,4,88,20,0.043478,3,1,19
214,4,57,20,0.043478,3,1,19
215,4,92,20,0.043478,3,1,19
216,4,94,20,0.043478,3,1,19
217,4,73,20,0.043478,3,1,19
218,4,99,20,0.043478,3,1,19
219,4,83,20,0.043478,3,1,19
220,4,9,20,0.043478,3,1,19
221,4,32,20,0.043478,3,1,19
222,4,71,20,0.043478,3,1,19
223,4,98,20,0.043478,3,1,19
224,4,96,20,0.043478,3,1,19
225,4,91,20,0.043478,3,1,19
226,4,92,20,0.043478,3,1,19
227,4,81,20,0.043478,3,1,19
228,4,83,20,0.043478,3,1,19
229,4,88,20,0.043478,3,1,19
230,4,90,20,0.043478,3,1,19
231,4,75,20,0.090909,2,2,18
232,4,70,20,0.043478,3,1,19
233,4,77,20,0.043478,3,1,19
234,4,78,20,0.043478,3,1,19
235,4,98,20,0.043478,3,1,19
236,4,36,20,0.090909,2,2,18
237,4,84,20,0.043478,3,1,19
238,4,41,20,0.043478,3,1,19
239,4,91,20,0.043478,3,1,19
240,4,30,20,0.043478,3,1,19
241,4,100,20,0.043478,3,1,19
242,4,87,20,0.043478,3,1,19
243,4,77,20,0.043478,3,1,19
244,4,64,20,0.043478,3,1,19
245,4,7,20,0.043478,3,1,19
246,4,91,20,0.043478,3,1,19
247,4,97,20,0.043478,3,1,19
248,4,95,20,0.043478,3,1,19
249,4,66,20,0.043478,3,1,19
250,4,90,20,0.043478,3,1,19
251,4,96,20,0.043478,3,1,19
252,4,100,20,0.043478,3,1,19
253,4,75,20,0.043478,3,1,19
254,4,15,20,0.043478,3,1,19
255,4,52,20,0.043478,3,1,19
256,4,84,20,0.043478,3,1,19
257,4,68,20,0.043478,3,1,19
258,4,86,20,0.043478,3,1,19
259,4,83,20,0.043478,3,1,19
260,4,32,20,0.043478,3,1,19
