Detected id,Detected size,Truth id,Truth size,Precision,intersect
160,5,36,20,0.200000,1
161,5,12,20,0.200000,1
162,5,18,20,0.200000,1
163,5,42,20,0.200000,1
164,5,17,20,0.200000,1
165,5,58,20,0.200000,1
166,5,1,20,0.200000,1
167,5,21,20,0.200000,1
168,5,15,20,0.200000,1
169,5,42,20,0.200000,1
170,5,41,20,0.200000,1
171,5,12,20,0.200000,1
172,5,32,20,0.200000,1
173,5,16,20,0.200000,1
174,5,16,20,0.200000,1
175,5,12,20,0.200000,1
176,5,62,20,0.200000,1
177,5,2,20,0.200000,1
178,5,61,20,0.200000,1
179,5,98,20,0.200000,1
180,5,4,20,0.200000,1
181,5,19,20,0.200000,1
182,5,61,20,0.200000,1
183,5,51,20,0.200000,1
184,5,19,20,0.200000,1
185,5,21,20,0.200000,1
186,5,37,20,0.200000,1
187,5,18,20,0.200000,1
188,5,53,20,0.200000,1
189,5,77,20,0.200000,1
190,4,2,20,0.250000,1
191,4,10,20,0.250000,1
192,4,10,20,0.250000,1
193,4,24,20,0.250000,1
194,4,62,20,0.250000,1
195,4,17,20,0.250000,1
196,4,32,20,0.250000,1
197,4,12,20,0.250000,1
198,4,8,20,0.250000,1
199,4,19,20,0.250000,1
200,4,28,20,0.250000,1
201,4,16,20,0.250000,1
202,4,67,20,0.250000,1
203,4,14,20,0.250000,1
204,4,11,20,0.250000,1
205,4,13,20,0.250000,1
206,4,40,20,0.250000,1
207,4,9,20,0.250000,1
208,4,14,20,0.250000,1
209,4,55,20,0.250000,1
210,4,33,20,0.250000,1
211,4,60,20,0.250000,1
212,4,44,20,0.250000,1
213,4,71,20,0.250000,1
214,4,22,20,0.250000,1
215,4,44,20,0.250000,1
216,4,6,20,0.250000,1
217,4,18,20,0.250000,1
218,4,79,20,0.250000,1
219,4,29,20,0.250000,1
220,4,9,20,0.250000,1
221,4,12,20,0.250000,1
222,4,34,20,0.250000,1
223,4,67,20,0.250000,1
224,4,14,20,0.250000,1
225,4,4,20,0.250000,1
226,4,4,20,0.250000,1
227,4,45,20,0.250000,1
228,4,68,20,0.250000,1
229,4,55,20,0.250000,1
230,4,14,20,0.250000,1
231,4,75,20,0.500000,2
232,4,13,20,0.250000,1
233,4,26,20,0.250000,1
234,4,61,20,0.250000,1
235,4,12,20,0.250000,1
236,4,36,20,0.500000,2
237,4,9,20,0.250000,1
238,4,31,20,0.250000,1
239,4,47,20,0.250000,1
240,4,6,20,0.250000,1
241,4,100,20,0.250000,1
242,4,5,20,0.250000,1
243,4,25,20,0.250000,1
244,4,21,20,0.250000,1
245,4,7,20,0.250000,1
246,4,40,20,0.250000,1
247,4,79,20,0.250000,1
248,4,28,20,0.250000,1
249,4,18,20,0.250000,1
250,4,58,20,0.250000,1
251,4,88,20,0.250000,1
252,4,2,20,0.250000,1
253,4,27,20,0.250000,1
254,4,6,20,0.250000,1
